device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
468025140,6405914907,"(0.34295788407325745, 0.24538104236125946)","(-52.60103225708008, 173.34815979003906, 57.2402229309082)",1,4.1834564208984375,1,"(-26.308420181274414, 1.0688761472702026, 644.65966796875)","(0.5624995231628418, 0.4821547567844391, 0.4903942942619324)",1,"(0.39383411407470703, 0.22548839449882507)","(-34.66798782348633, 177.05445861816406, 58.58917999267578)",1,3.849639892578125,1,"(31.8798828125, -3.490980386734009, 641.20849609375)","(0.43329501152038574, 0.4972167909145355, 0.48402002453804016)",1
468041795,6405931563,"(0.3412148356437683, 0.2430424690246582)","(-53.21541976928711, 173.78387451171875, 57.3988037109375)",1,4.1197052001953125,1,"(-26.33112335205078, 1.087797999382019, 644.3576049804688)","(0.5625767707824707, 0.48209643363952637, 0.4897926151752472)",1,"(0.39427581429481506, 0.22605939209461212)","(-34.51228332519531, 176.94805908203125, 58.550445556640625)",1,3.779495239257813,1,"(31.832420349121094, -3.4692749977111816, 640.9093627929688)","(0.4333672821521759, 0.4971562325954437, 0.4834176003932953)",1
468058450,6405948218,"(0.34517982602119446, 0.2432277649641037)","(-51.81783676147461, 173.74935913085938, 57.3862419128418)",1,4.09490966796875,1,"(-26.342506408691406, 1.0865237712860107, 644.0090942382812)","(0.5626336336135864, 0.4820978045463562, 0.4890971779823303)",1,"(0.39111706614494324, 0.22633926570415497)","(-35.625709533691406, 176.8959503173828, 58.531471252441406)",1,3.772415161132813,1,"(31.794410705566406, -3.4683611392974854, 640.5628051757812)","(0.43341371417045593, 0.4971585273742676, 0.48272156715393066)",1
468075105,6405964871,"(0.3455146551132202, 0.2450384795665741)","(-51.699806213378906, 173.41201782226562, 57.26343536376953)",1,4.0411376953125,1,"(-26.360877990722656, 1.0624749660491943, 643.6311645507812)","(0.5627090334892273, 0.4821661710739136, 0.4883432686328888)",1,"(0.38805145025253296, 0.22790028154850006)","(-36.70628356933594, 176.6051025390625, 58.42563247680664)",1,3.725173950195313,1,"(31.747657775878906, -3.486201524734497, 640.1875610351562)","(0.43347689509391785, 0.4972169101238251, 0.4819675385951996)",1
468091759,6405981513,"(0.34748971462249756, 0.2481304109096527)","(-51.003631591796875, 172.83592224121094, 57.05375289916992)",1,4.034515380859375,1,"(-26.383136749267578, 1.0460383892059326, 643.338134765625)","(0.5627853870391846, 0.48221248388290405, 0.487759530544281)",1,"(0.3868997395038605, 0.2308347225189209)","(-37.11223220825195, 176.058349609375, 58.22663116455078)",1,3.689773559570313,1,"(31.705230712890625, -3.495722532272339, 639.897216796875)","(0.4335397183895111, 0.49724921584129333, 0.48138341307640076)",1
468108414,6405998156,"(0.3458237946033478, 0.2435237318277359)","(-51.59084701538086, 173.69422912597656, 57.36614227294922)",1,3.986740112304688,1,"(-26.387046813964844, 1.0142102241516113, 643.1569213867188)","(0.5628111362457275, 0.48230552673339844, 0.48739758133888245)",1,"(0.39007410407066345, 0.23335865139961243)","(-35.993316650390625, 175.58811950683594, 58.05548095703125)",1,3.642044067382813,1,"(31.685226440429688, -3.5232629776000977, 639.7172241210938)","(0.4335651099681854, 0.4973338544368744, 0.4810222089290619)",1
468125069,6406014801,"(0.34429997205734253, 0.24524657428264618)","(-52.12796401977539, 173.37322998046875, 57.249332427978516)",1,3.9721527099609375,1,"(-26.393051147460938, 1.006905198097229, 642.832763671875)","(0.5628541707992554, 0.48232513666152954, 0.4867502450942993)",1,"(0.3901604413986206, 0.2374371439218521)","(-35.96288299560547, 174.82821655273438, 57.77891159057617)",1,3.629470825195313,1,"(31.648826599121094, -3.5271155834198, 639.3951416015625)","(0.4336108863353729, 0.4973500669002533, 0.48037537932395935)",1
468141723,6406031455,"(0.34516119956970215, 0.2554091215133667)","(-51.82440185546875, 171.47976684570312, 56.560203552246094)",1,3.922286987304688,1,"(-26.382564544677734, 1.0457545518875122, 642.6497802734375)","(0.5628467798233032, 0.48220929503440857, 0.48638391494750977)",1,"(0.3843720853328705, 0.24258007109165192)","(-38.00320053100586, 173.87002563476562, 57.430145263671875)",1,3.5891265869140625,1,"(31.64305877685547, -3.4898176193237305, 639.211669921875)","(0.4336026906967163, 0.4972420334815979, 0.4800078272819519)",1
468158378,6406048109,"(0.3458850383758545, 0.24752995371818542)","(-51.56925582885742, 172.94778442382812, 57.09450149536133)",1,3.90081787109375,1,"(-26.393695831298828, 1.077400803565979, 642.5953369140625)","(0.5628759264945984, 0.48211491107940674, 0.48627611994743347)",1,"(0.3886602520942688, 0.24359692633152008)","(-36.49169158935547, 173.68057250976562, 57.36117172241211)",1,3.5865020751953125,1,"(31.62574005126953, -3.4618430137634277, 639.1583251953125)","(0.4336349666118622, 0.49715912342071533, 0.4798992872238159)",1
468175033,6406064764,"(0.3479359447956085, 0.24243755638599396)","(-50.84635925292969, 173.89659118652344, 57.43986892700195)",1,3.8619232177734375,1,"(-26.456073760986328, 1.0895894765853882, 642.13671875)","(0.5630561709403992, 0.4820743501186371, 0.4853648543357849)",1,"(0.3903149664402008, 0.22344471514225006)","(-35.908416748046875, 177.43521118164062, 58.727779388427734)",1,3.553573608398437,1,"(31.526748657226562, -3.4476232528686523, 638.7066040039062)","(0.4338061511516571, 0.49712198972702026, 0.47898706793785095)",1
